Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
循,彳,24.1975,['彳'],[100516]
役,彳,10.4494,['彳'],[100606]
徽,彳,29.2691,['彳'],[101379]
彼,彳,73.9407,['彳'],[101429]
御,彳,18.879,['彳'],[101515]
徐,彳,29.4519,['彳'],[101957]
徘,彳,7.8272,['彳'],[103716]
徊,彳,7.916,['彳'],[103717]
徙,彳,1.837,['彳'],[119414]
彷,彳,4.484,['彳'],[119723]
徇,彳,0.1531,['彳'],[120166]
徉,彳,0.9333,['彳'],[120167]
徕,彳,0.2617,['彳'],[120445]
徜,彳,0.9136,['彳'],[120734]
徨,彳,3.7728,['彳'],[120992]
彽,彳,0.0148,['彳'],"[14273, 121]"
彿,彳,0.237,['彳'],"[14273, 123]"
徳,彳,0.8099,['彳'],"[17158, 111]"
微,彳,2807.684,['彳'],[48934]
得,彳,4328.884,['彳'],[49828]
径,彳,21.2346,['彳'],[66569]
待,彳,439.4222,['彳'],[74193]
很,彳,3133.5062,['彳'],[99165]
往,彳,279.6938,['彳'],[99321]
德,彳,420.3901,['彳'],[99462]
律,彳,126.7654,['彳'],[99499]
